"","River","trap_location","trap_opened","trap_closed","Updated","spp_raw","cnt","spp","spp_id","river_id","trap_id","cnt_id"
"69","St. Croix","Milltown Dam","April 15",NA,2020-07-03 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,7,9,"7-2-9-2020-07-04"
"70","Aroostook","Tinker Dam","July 2",NA,2020-07-09 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,2,11,"2-3-11-2020-07-10"
"71","St. Croix","Milltown Dam","April 15",NA,2020-07-03 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,7,9,"7-3-9-2020-07-04"
"72","Aroostook","Tinker Dam","July 2",NA,2020-07-09 20:00:00,"River.Herring",0,"River Herring",4,2,11,"2-4-11-2020-07-10"
"73","St. Croix","Milltown Dam","April 15",NA,2020-07-03 20:00:00,"River.Herring",609573,"River Herring",4,7,9,"7-4-9-2020-07-04"
"74","Aroostook","Tinker Dam","July 2",NA,2020-07-09 20:00:00,"Striped.Bass",0,"Striped Bass",5,2,11,"2-5-11-2020-07-10"
"75","St. Croix","Milltown Dam","April 15",NA,2020-07-03 20:00:00,"Striped.Bass",0,"Striped Bass",5,7,9,"7-5-9-2020-07-04"
"76","Aroostook","Tinker Dam","July 2",NA,2020-07-09 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,2,11,"2-6-11-2020-07-10"
"77","St. Croix","Milltown Dam","April 15",NA,2020-07-03 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,7,9,"7-6-9-2020-07-04"
"78","Androscoggin","Brunswick","June 1",NA,2020-07-12 20:00:00,"Am.Shad",23,"American Shad",1,1,1,"1-1-1-2020-07-13"
"79","Kennebec","Lockwood Dam","May 1",NA,2020-07-12 20:00:00,"Am.Shad",180,"American Shad",1,3,3,"3-1-3-2020-07-13"
"80","Narraguagus","Cherryfield","April 29",NA,2020-07-11 20:00:00,"Am.Shad",780,"American Shad",1,4,4,"4-1-4-2020-07-12"
"81","Penobscot","Milford fish lift","April 22",NA,2020-07-12 20:00:00,"Am.Shad",11085,"American Shad",1,5,5,"5-1-5-2020-07-13"
"82","Penobscot","Orono","April 22",NA,2020-07-12 20:00:00,"Am.Shad",2,"American Shad",1,5,6,"5-1-6-2020-07-13"
"83","Penobscot","Weldon Dam","April 30",NA,2020-07-12 20:00:00,"Am.Shad",0,"American Shad",1,5,7,"5-1-7-2020-07-13"
"84","Union","Ellsworth","May 1",NA,2020-07-12 20:00:00,"Am.Shad",0,"American Shad",1,8,10,"8-1-10-2020-07-13"
"85","Androscoggin","Brunswick","June 1",NA,2020-07-12 20:00:00,"At.Salmon..MSW.",4,"Atlantic Salmon (MSW)",2,1,1,"1-2-1-2020-07-13"
